Price,Close,High,Low,Open,Volume
Ticker,BEL.NS,BEL.NS,BEL.NS,BEL.NS,BEL.NS
Date,,,,,
2002-07-01,1.4286330938339233,1.4427320738044633,1.3772753083413978,1.3876808607358668,66107844
2002-07-02,1.4078222513198853,1.4487745104853123,1.4014443183726595,1.4279627586018653,53452773
2002-07-03,1.376604437828064,1.4155421566636581,1.364184357230745,1.4155421566636581,25342020
2002-07-04,1.3698910474777222,1.3950661999885567,1.3564640987535883,1.370226669695721,18499041
2002-07-05,1.3782827854156494,1.3896960014383946,1.364520213742044,1.364520213742044,16883757
2002-07-08,1.3645200729370117,1.3900314802366733,1.3561284086739447,1.3886881991225994,10296792
2002-07-09,1.3591490983963013,1.3896957879444762,1.3527711676621388,1.3645200041157899,20924145
2002-07-10,1.3326305150985718,1.368883253022643,1.32927413517747,1.362169700871313,10935639
2002-07-11,1.2980562448501587,1.3561283099093653,1.2923496378432546,1.332630637528226,20377566
2002-07-12,1.3111475706100464,1.3292742581729642,1.3000701372275545,1.313832706487744,18052551
2002-07-15,1.297385334968567,1.3158469363775323,1.2621388965410831,1.3091334611095786,13241250
2002-07-16,1.3185328245162964,1.335988273772347,1.2795943792542248,1.2883217473429867,20203821
2002-07-17,1.2399846315383911,1.3205466551107987,1.2191728018591672,1.315846992453225,33077187
2002-07-18,1.281607985496521,1.2936923661307573,1.2413269808188323,1.2413269808188323,21906027
2002-07-19,1.3947306871414185,1.4121860546214977,1.259789390265859,1.2748945304954205,178203861
2002-07-22,1.35780668258667,1.4225922336741188,1.3242392291977954,1.360156196738841,241586829
2002-07-23,1.443403720855713,1.4618653177260825,1.3259171798554625,1.3420293422294711,245092122
2002-07-24,1.3705625534057617,1.4447468039148879,1.3567999798378434,1.4165502537530956,153412974
2002-07-25,1.442397117614746,1.4699224199327865,1.3910385161030094,1.3964095812087933,152682354
2002-07-26,1.3380017280578613,1.442732658637735,1.32256025347949,1.4225921560115522,72129618
2002-07-29,1.2936924695968628,1.354785305167091,1.245355418579626,1.3474005065395178,105033753
2002-07-30,1.2352845668792725,1.3427011707895478,1.2027239873070983,1.327259698731624,41241321
2002-07-31,1.2799298763275146,1.3158468436726636,1.124512376245833,1.208430850798445,119529828
2002-08-01,1.2470333576202393,1.3279310585849815,1.2366278024218464,1.3279310585849815,63843021
2002-08-02,1.2070879936218262,1.2453550997923393,1.1765419401951347,1.2349489113123646,48163401
2002-08-05,1.2376350164413452,1.264824697184923,1.2044031844214165,1.2044031844214165,40581486
2002-08-06,1.2963781356811523,1.3024196521637703,1.2091019442462252,1.2211864033681088,62228331
2002-08-07,1.3954015970230103,1.4333330815482077,1.3024195206893767,1.3165185038835754,164726298
2002-08-08,1.3531070947647095,1.4091653614202395,1.338337655324322,1.3997660366002618,67887567
2002-08-09,1.4141998291015625,1.4232633720260102,1.357806581336653,1.3829823675783188,92680236
2002-08-12,1.4343403577804565,1.4497818323351646,1.3863389322361894,1.419906383741099,71447013
2002-08-13,1.4178924560546875,1.4534737984566566,1.409836413682331,1.4235989844662085,61183089
2002-08-14,1.4027869701385498,1.4192348324191075,1.3933876483948233,1.4024513479884855,42146973
2002-08-15,1.4027869701385498,1.4027869701385498,1.4027869701385498,1.4027869701385498,0
2002-08-16,1.3816392421722412,1.4259485054402,1.373583041298405,1.406479406149048,37533573
2002-08-19,1.382982850074768,1.4074867665850612,1.3766050749660852,1.3896964059789014,26254404
2002-08-20,1.3561285734176636,1.3957381779837839,1.344715357186162,1.3957381779837839,28631097
2002-08-21,1.3688836097717285,1.3896959913270301,1.3591492973083346,1.3594849195417298,20480427
2002-08-22,1.4054720401763916,1.425948159610783,1.3712333532282148,1.3755965994371482,84163266
