Price,Close,High,Low,Open,Volume
Ticker,TECHM.NS,TECHM.NS,TECHM.NS,TECHM.NS,TECHM.NS
Date,,,,,
2006-08-28,94.02017211914062,96.52228766042583,85.1567458796727,88.37980996675195,60664652
2006-08-29,91.48412322998047,95.65714906466697,90.8479921899699,94.14739392156376,15716452
2006-08-30,89.5842056274414,92.0948109650839,88.464619190478,91.09396070045386,8139932
2006-08-31,91.33995056152344,92.28142256288707,87.36200849243905,89.05835817190388,6683960
2006-09-01,91.91670227050781,93.1295964200066,90.77166624895037,91.43324675844,4704780
2006-09-04,92.27294921875,93.12960379494028,76.81071668763748,91.9421589378099,2999152
2006-09-05,93.75724029541016,94.31703356778917,91.34842189973824,92.28141413826853,3824532
2006-09-06,91.8149185180664,95.4196612774362,91.26360491957455,94.09651071179493,3830444
2006-09-07,91.14486694335938,92.45105827784072,89.90653373808362,92.45105827784072,1404644
2006-09-08,90.72075653076172,92.43407549891535,90.1694430201879,91.39929623608334,1078636
2006-09-11,90.91584777832031,92.45104190807317,90.2881964322421,91.59438753544379,1681864
2006-09-12,91.2381591796875,92.76487382111262,90.5850687245564,90.91585896760444,2056784
2006-09-13,92.4001693725586,93.12959766605242,91.77251791864182,91.77251791864182,1607788
2006-09-14,93.27378845214844,94.57150017449717,92.46802230716393,92.4849920171715,2138440
2006-09-15,91.63679504394531,93.97775510395466,91.43323104879344,93.32466473794125,839132
2006-09-18,92.70551300048828,95.33485508924869,92.28142556681725,92.28142556681725,897504
2006-09-19,99.1092300415039,105.82677063197822,92.70551000031132,92.96844212993881,19172256
2006-09-20,102.63760375976562,104.1388789771879,97.24321550671286,98.35432213474252,9057312
2006-09-21,103.29920196533203,106.36111065589914,97.87936339466317,97.87936339466317,7104400
2006-09-22,101.9760513305664,106.02184062743103,100.63593112355754,106.02184062743103,2906004
2006-09-25,100.68681335449219,103.76569155875829,100.09309108343109,100.97519481403224,2542148
2006-09-26,104.76654815673828,106.19148597584802,100.76316720391969,101.74704791059243,6943500
2006-09-27,105.08039855957031,107.17538658313588,104.5460441897597,105.0888782384867,4061248
2006-09-28,103.98621368408203,105.97094446624634,103.16348840244765,105.97094446624634,1210420
2006-09-29,104.90226745605469,106.87002892655707,103.47732959555526,104.3255044283057,2381504
2006-10-03,105.0719223022461,107.86240974699886,104.32552416672826,105.0040641613086,3202624
2006-10-04,104.1049575805664,105.85219527152091,103.47730627504448,105.44506730207578,1202696
2006-10-05,105.87764739990234,106.53073774940411,105.00402335490628,105.37722227763356,857264
2006-10-06,105.3941879272461,108.55788375303518,104.85984406945896,106.70037905799558,2473768
2006-10-09,104.16435241699219,106.00489807419352,103.47733285158581,104.83441262668858,961312
2006-10-10,104.46969604492188,105.98793115401205,103.53670367498569,105.17368533826173,840552
2006-10-11,106.86154174804688,110.90733127480213,105.17367187861062,105.17367187861062,7770292
2006-10-12,106.8191146850586,108.07440692185901,105.34328876209713,107.63336025692533,2884688
2006-10-13,115.68255615234375,117.54006092444452,107.73515253749686,107.73515253749686,10084532
2006-10-16,120.5171890258789,121.79793121794623,116.75128991748119,116.75128991748119,7437840
2006-10-17,119.50782775878906,121.62826473108836,118.7868791882073,121.11935985773653,3306924
2006-10-18,116.03878784179688,121.28899172204265,115.35176835103357,120.44081695475565,3019184
2006-10-19,131.07691955566406,134.35087181061297,118.74445740837005,118.74445740837005,18835652
2006-10-20,146.45433044433594,152.67145552468037,131.6367216523911,132.14562650414,21011380
2006-10-23,152.35760498046875,167.76045338702266,149.44836200985506,162.17098079616508,16687696
2006-10-26,155.835205078125,157.0820182521456,151.3737960607904,152.67150802044387,10700288
2006-10-27,169.7960968017578,172.00983071807087,156.28466956689283,156.28466956689283,17816692
2006-10-30,170.74606323242188,177.74351553510746,167.09043199405264,171.3313059025311,12570116
2006-10-31,167.8876953125,173.87580637850368,162.2727728162554,170.99201251661628,8952160
2006-11-01,171.2040557861328,173.7061710428536,166.68328068929165,169.80456759169576,7815152
2006-11-02,170.05905151367188,172.7986603254206,168.8122386689904,170.99204381624065,4379712
2006-11-03,168.2779083251953,170.48316317219889,167.09046340757803,170.31352818396783,2850172
2006-11-06,169.3465576171875,173.19727280514172,166.75114511993564,169.63493908436993,3482952
2006-11-07,168.09976196289062,172.07770375760273,167.47211055404054,171.9589572174912,2035924
2006-11-08,168.057373046875,170.48315113658649,164.37629199139533,169.3974831470736,3295280
2006-11-09,167.53150939941406,170.10996327839746,166.58155761154026,169.97425735922948,1888468
2006-11-10,169.52464294433594,174.8935919802606,165.39403703273916,168.68495842389353,5312484
2006-11-13,170.61033630371094,172.49327994545072,168.7019432801795,169.6349354250171,2536604
2006-11-14,168.98182678222656,172.1794408275464,168.13365219686918,171.331266242189,2367328
2006-11-15,182.12008666992188,184.86818541248758,169.21087051450434,169.63495790927752,10842812
2006-11-16,195.5806121826172,197.89613344917043,180.18624008733912,182.36606581495315,16836432
2006-11-17,189.15992736816406,199.77907102733474,186.25917388358647,196.77654071490008,8229376
2006-11-20,193.23117065429688,194.87664212141385,179.88090814765872,186.59844813919125,7255332
2006-11-21,200.56787109375,205.207382652093,191.7977528070261,191.7977528070261,7310604
2006-11-22,199.23622131347656,203.5195032105947,198.2184117537653,201.3566578962083,3415848
2006-11-23,195.02928161621094,201.01740326216654,193.41774969132436,201.01740326216654,2498644
2006-11-24,193.53648376464844,200.54239351432136,186.7765363652518,186.7765363652518,3247380
2006-11-27,191.18704223632812,195.0716652849271,189.4313042725943,193.99448769923725,1628732
2006-11-28,189.363525390625,195.41948553975897,182.40849161707456,189.98267646552605,3116228
2006-11-29,190.8223876953125,194.91058645511143,189.51618596216883,190.8393470513493,1654736
2006-11-30,190.41525268554688,192.87495973582787,188.6510448666252,191.80625114826557,974100
2006-12-01,190.0335693359375,194.48648716237656,188.8206751960193,191.6875102429006,1191888
2006-12-04,188.7612762451172,192.99365964251686,188.32869887258585,190.83930422445007,1164244
2006-12-05,197.8792266845703,199.60949539448114,187.44667422756126,188.8885717216194,4355516
2006-12-06,192.74771118164062,202.20485960705446,191.05985171871612,199.32106546836326,4025108
2006-12-07,193.37533569335938,198.55769123582343,190.8817104340968,192.53565104883347,3723552
2006-12-08,190.95809936523438,195.08023789235298,190.36437690208373,195.08023789235298,1497532
